# DPlus_Hosts.txt downloaded from http://www.pistar.uk/downloads/DPlus_Hosts.txt
# DPlus Hosts resolved from dstargateway.org DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistar/
# File created at Friday 30th of March 2018 03:12:12 AM BST
GB7WT	185.49.92.226
HB9BO	213.202.33.211
HB9CSR	85.6.195.102
HB9DR	92.107.4.69
HB9DS	194.29.11.9
HB9GR	138.188.42.172
HB9VD	51.254.122.59
HB9ZRH	77.57.117.248
HG7RUF	217.150.139.107
IR0AAB	95.235.6.205
IR0CJ	185.82.114.251
IR0UBT	94.35.155.149
IR1CT	2.40.29.165
IR1DC	88.149.181.240
IR1UAW	95.250.219.111
IR1UBY	95.250.214.12
IR1UGF	78.134.79.222
IR1UGO	95.249.102.191
IR1UIM	151.16.101.72
IR1UIV	217.19.159.207
IR1UIW	2.235.33.50
IR2AY	87.2.200.118
IR2UDW	91.142.66.115
IR2UEZ	78.134.11.176
IR3EE	213.21.185.184
IR3UBK	46.19.235.134
IR3UG	95.142.180.57
IR3UIB	79.6.136.179
IR3UJ	79.6.136.181
IR4MO	37.207.172.82
IR4UCJ	31.3.184.38
IR5AN	62.48.40.65
IR5AR	213.198.166.77
IR5AY	79.52.125.136
IR5UBM	46.226.178.80
IR5UBO	93.188.115.147
IR5UBS	46.226.178.83
IR5UCK	46.226.176.11
IR5UCL	87.7.206.152
IR5UDB	46.226.178.84
IR6UDO	185.47.96.11
IR7UBL	80.116.224.93
IR7UBP	212.171.170.227
IR7UBX	2.237.73.137
IR7UBY	151.45.8.123
IR7UC	2.237.28.178
IR7UE	80.117.254.81
IR8AE	134.90.226.126
IR8UCN	79.27.114.62
IR9P	95.235.164.45
IR9UBD	151.74.193.144
IR9UBK	176.32.28.127
IR9UBM	80.181.149.10
IR9UBQ	151.54.191.135
IR9UBV	151.54.9.159
JE4YLP	180.27.23.55
JH3ZMD	121.86.183.164
JJ1YEG	219.117.204.205
JL3ZBS	211.133.50.200
JL3ZDF	125.207.29.216
JQ1ZBD	122.249.80.80
JQ1ZKF	114.145.44.238
JQ1ZKG	118.243.253.222
JQ1ZOR	118.241.159.202
JQ1ZRY	221.27.66.171
K0PRA	72.1.108.245
K1MRA	207.180.168.249
K1RFI	173.166.94.77
K2BWK	24.213.133.213
K3AWS	76.190.233.121
K3CR	146.186.33.234
K3PDR	50.199.92.162
K4BRK	71.226.9.57
K4HPT	68.225.85.83
K5LLO	99.181.209.158
K5PSA	24.54.146.202
K6CLX	72.134.1.68
K6DRI	162.251.185.150
K7EVR	72.201.150.71
K7LWH	63.226.225.249
K7YI	67.22.175.38
KB1UHR	68.14.19.236
KB1UHS	173.166.94.243
KB1UVD	73.47.74.3
KB1UVE	64.222.209.241
KB1VFA	108.176.227.174
KB1WUW	72.74.177.59
KB1ZEG	107.0.6.230
KB3YBB	50.73.161.158
KB5DRP	52.144.103.54
KB8EOC	98.30.139.157
KC1AZZ	74.104.114.4
KC1EGN	71.169.144.69
KC2TGB	73.226.52.46
KC2WBJ	73.248.8.148
KC3BIY	174.227.142.6
KC3BMB	73.64.160.58
KC3FHC	71.244.175.15
KC8ARJ	174.84.33.92
KD0PKU	67.55.181.66
KD0QPG	162.255.157.234
KD0YLG	199.17.47.23
KD0ZSA	67.5.10.246
KD1STR	73.100.156.181
KD2FET	70.195.142.247
KD2GBR	108.119.144.252
KD2LWX	67.140.79.50
KD2LYO	66.243.219.222
KD2MNA	67.241.251.13
KD5RCA	98.18.51.128
KD8RWK	71.67.131.189
KD8SWP	76.189.143.248
KD8TUZ	74.140.148.77
KD9AKF	158.222.16.101
KD9FUR	104.243.226.199
KD9GXT	192.200.136.250
KD9IPR	97.83.196.212
KE0MVE	156.98.131.33
KE0MVG	69.76.160.34
KE5YAP	71.97.89.126
KE8AOQ	168.215.61.3
KE8BUO	98.29.31.4
KE8EVF	68.61.246.212
KF5MMX	66.169.150.153
KF5ZVT	72.204.148.180
KF7CLD	70.89.134.123
KF7NOD	73.193.45.223
KF7NPL	63.225.171.156
KF7VJO	67.169.255.93
KG5JPJ	98.172.10.197
KG5OXR	24.49.102.111
KG5RED	24.182.107.171
KG7QPU	66.235.18.176
KG7WZG	168.103.142.41
KI7EWH	44.24.240.99
KI7W	67.215.23.198
KJ6KTV	98.150.91.5
KK4IQW	68.47.133.52
KK4PGE	74.131.186.40
KK4QXJ	173.214.218.208
KK4WIB	73.184.164.110
KK4YOE	71.91.69.74
KK6GIZ	76.178.49.69
KK6JA	73.70.190.55
KM4LNN	216.221.204.103
KN4BDJ	74.137.13.22
KR7ST	204.89.198.102
KS1R	73.119.107.231
KY4HS	75.88.124.17
LD1XB	46.46.206.233
LD2EM	82.148.173.251
LD2KR	84.247.186.130
LD4FH	91.149.25.206
LD4LA	77.16.20.97
LD5BG	82.148.174.59
LD7FF	148.252.109.16
LD8BS	89.162.52.200
LD8DN	85.166.211.60
LD8LK	81.167.105.194
LD8MK	178.16.68.20
LD8MM	88.89.89.196
LD8NA	193.212.207.139
LD8NN	85.166.211.137
LD8SA	89.162.67.118
LD9TN	88.84.179.237
LU5FB	179.60.232.106
LX0DML	83.99.53.126
LX0DRD	213.135.244.146
LX0DRH	88.207.187.225
LX0DRJ	83.99.53.126
LX0DRN	213.135.244.146
LX0DRV	88.207.202.202
LX0RL	146.0.189.206
LX9EPF	158.64.26.2
LZ0DAA	78.83.103.163
LZ0DAH	95.158.175.90
LZ0DAM	151.237.6.74
